"","date","state.abbr","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","dateModified","checkTimeEt","death","dateChecked","hash","state","Positive_Increase"
"1",2020-06-30,"AK",940,111245,NA,18,NA,NA,NA,1,NA,526,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",14,"2020-06-29T00:00:00Z","c5005ccb9df1aac9b5921115fc05931c3b67d41c","Alaska",NA
"2",2020-06-30,"AL",38045,368607,NA,776,2769,NA,806,NA,458,18866,"6/30/2020 11:00","2020-06-30T11:00:00Z","06/30 07:00",950,"2020-06-30T11:00:00Z","fdfdc3408c4025a5fe62edd82fc96917bbff72c9","Alabama",NA
"3",2020-06-30,"AR",20777,290426,NA,290,1413,NA,NA,67,220,14531,"6/30/2020 15:16","2020-06-30T15:16:00Z","06/30 11:16",270,"2020-06-30T15:16:00Z","17dcc91281212bb7a3d374b7c5b915d4e9a8f735","Arkansas",NA
"4",2020-06-30,"AS",0,696,NA,NA,NA,NA,NA,NA,NA,NA,"6/27/2020 00:00","2020-06-27T00:00:00Z","06/26 20:00",0,"2020-06-27T00:00:00Z","ca74b9993eb587311a979759637d4cce59f795cd","American Samoa",NA
"5",2020-06-30,"AZ",79215,453141,NA,2793,4736,683,NA,455,NA,9411,"6/30/2020 00:00","2020-06-30T00:00:00Z","06/29 20:00",1632,"2020-06-30T00:00:00Z","8e7e73ea3a05cb30e8b0193f3444b6ba833eadc4","Arizona",NA
"6",2020-06-30,"CA",222917,3944222,NA,6466,NA,1751,NA,NA,NA,NA,"6/30/2020 00:00","2020-06-30T00:00:00Z","06/29 20:00",5980,"2020-06-30T00:00:00Z","53785977bb1854aaae89ce56b5be7aef91b9b415","California",NA
"7",2020-06-30,"CO",32511,291346,NA,271,5442,NA,NA,NA,NA,4479,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",1682,"2020-06-29T00:00:00Z","1af0ef1aab251774ed9a8d0985134a0f57d418df","Colorado",NA
"8",2020-06-30,"CT",46514,419880,NA,98,10268,NA,NA,NA,NA,8053,"6/29/2020 20:30","2020-06-29T20:30:00Z","06/29 16:30",4322,"2020-06-29T20:30:00Z","704e72568c367f512772c1a38b8d1befa3ed6efc","Connecticut",NA
"9",2020-06-30,"DC",10327,86968,NA,126,NA,33,NA,22,NA,1270,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",551,"2020-06-29T00:00:00Z","149304290d842bdc33ade48895f18a6939e80383","District of Columbia",NA
"10",2020-06-30,"DE",11474,99407,NA,64,NA,13,NA,NA,NA,6667,"6/29/2020 18:00","2020-06-29T18:00:00Z","06/29 14:00",509,"2020-06-29T18:00:00Z","89bb643ad9d546add2a8ce317451094b59c2e435","Delaware",NA
"11",2020-06-30,"FL",152434,1792561,1904,NA,14879,NA,NA,NA,NA,NA,"6/29/2020 23:59","2020-06-29T23:59:00Z","06/29 19:59",3604,"2020-06-29T23:59:00Z","eebc78ccd98925e0ecaa1c019a0645521993837f","Florida",NA
"12",2020-06-30,"GA",81291,752587,NA,1459,11051,NA,2323,NA,NA,NA,"6/30/2020 14:50","2020-06-30T14:50:00Z","06/30 10:50",2805,"2020-06-30T14:50:00Z","5971f4b17acc6b88f4c1ba2ace03e8fe0f8f2dcf","Georgia",NA
"13",2020-06-30,"GU",259,13056,NA,0,NA,NA,NA,NA,NA,179,"6/30/2020 08:15","2020-06-30T08:15:00Z","06/30 04:15",5,"2020-06-30T08:15:00Z","ba83f98c0f3e04f4f6379eec099bc7858e38014f","Guam",NA
"14",2020-06-30,"HI",900,76843,NA,NA,111,NA,NA,NA,NA,722,"6/29/2020 18:00","2020-06-29T18:00:00Z","06/29 14:00",18,"2020-06-29T18:00:00Z","80b994f304570f42a8fd0f41cde2bdda78eee292","Hawaii",NA
